,0,1,2,3
0,12:48:58,0,1.4,113
87,12:50:25,0,1.5,102.5
160,12:51:38,0,1.5,179.7
279,12:53:57,0,1.5,104.3
310,12:54:34,0,1.5,118.2
376,12:55:46,0,1.5,117.5
467,12:57:26,0,1.5,197.2
749,13:02:09,0,1.5,120.4
818,13:03:18,0,1.5,203.1
820,13:03:20,0,1.5,126.3
854,13:03:54,0,1.5,125.5
1020,13:06:40,0,1.5,195.7
1055,13:07:15,0,1.5,130.5
1098,13:07:58,0,1.5,115.5
1101,13:08:01,0,1.5,110
1107,13:08:07,0,1.5,111
1177,13:09:17,0,1.5,273.2
1348,13:13:14,0,1.5,383.3
1350,13:13:16,0,1.5,383.4
1419,13:13:25,0,1.5,386.1
1618,13:16:44,0,1.5,375.3
1688,13:17:54,0,1.5,128.9
1890,13:21:17,0,1.5,128.3
1893,13:21:20,0,1.5,127.9
2197,13:26:24,0,1.5,124.8
2199,13:26:26,0,1.5,131.1
2,12:49:00,0.1,1.4,103.1
3,12:49:01,0.1,1.4,111
5,12:49:03,0.1,1.4,111.3
6,12:49:04,0.1,1.4,110.9
7,12:49:05,0.1,1.4,111
8,12:49:06,0.1,1.4,110.7
9,12:49:07,0.1,1.4,110.8
10,12:49:08,0.1,1.4,103.1
11,12:49:09,0.1,1.4,103.4
13,12:49:11,0.1,1.4,113.8
14,12:49:12,0.1,1.4,113.7
15,12:49:13,0.1,1.4,113.6
17,12:49:15,0.1,1.4,107.5
18,12:49:16,0.1,1.4,107.2
50,12:49:48,0.1,1.4,146.4
52,12:49:50,0.1,1.4,110.2
53,12:49:51,0.1,1.4,109.6
85,12:50:23,0.1,1.5,158.6
86,12:50:24,0.1,1.5,107.6
92,12:50:30,0.1,1.5,106.3
124,12:51:02,0.1,1.5,178.2
125,12:51:03,0.1,1.5,131.7
126,12:51:04,0.1,1.5,113.3
127,12:51:05,0.1,1.5,105.5
128,12:51:06,0.1,1.5,99.6
159,12:51:37,0.1,1.5,187.2
161,12:51:39,0.1,1.5,106.4
162,12:51:40,0.1,1.5,106
194,12:52:12,0.1,1.5,203.6
195,12:52:13,0.1,1.5,147.2
196,12:52:14,0.1,1.5,104.9
197,12:52:15,0.1,1.5,116.3
221,12:52:47,0.1,1.5,208.1
222,12:52:48,0.1,1.5,200
223,12:52:49,0.1,1.5,115.3
224,12:52:50,0.1,1.5,114.7
249,12:53:22,0.1,1.5,222.4
250,12:53:24,0.1,1.5,116.9
278,12:53:56,0.1,1.5,217.7
281,12:53:59,0.1,1.5,114.1
309,12:54:32,0.1,1.5,118.7
336,12:55:06,0.1,1.5,247.3
337,12:55:07,0.1,1.5,137.6
338,12:55:08,0.1,1.5,113.9
339,12:55:09,0.1,1.5,108
340,12:55:10,0.1,1.5,118.1
372,12:55:42,0.1,1.5,259.5
373,12:55:43,0.1,1.5,163.4
374,12:55:44,0.1,1.5,117.9
375,12:55:45,0.1,1.5,117.5
407,12:56:17,0.1,1.5,267.8
408,12:56:18,0.1,1.5,188.2
409,12:56:19,0.1,1.5,117.5
410,12:56:20,0.1,1.4,117.8
442,12:56:52,0.1,1.4,266
468,12:57:27,0.1,1.5,115.5
469,12:57:28,0.1,1.5,116.1
502,12:58:01,0.1,1.5,119.6
535,12:58:34,0.1,1.5,214.2
536,12:58:35,0.1,1.5,118.5
537,12:58:36,0.1,1.5,118.8
538,12:58:37,0.1,1.5,111.6
570,12:59:09,0.1,1.5,197.4
571,12:59:10,0.1,1.5,120.6
572,12:59:11,0.1,1.5,113.7
604,12:59:43,0.1,1.5,249.6
606,12:59:45,0.1,1.5,119.4
607,12:59:46,0.1,1.5,119.7
608,12:59:47,0.1,1.5,119.7
609,12:59:48,0.1,1.5,119.9
641,13:00:20,0.1,1.5,314
