,0,1,2,3
1479,14:11:52,0.8,1.1,138.3
1468,14:11:28,60.1,1.2,308.9
1469,14:11:29,1.5,1.2,296.1
1470,14:11:30,0.1,1.2,163
1471,14:11:31,0.1,1.2,125.9
1472,14:11:32,0.1,1.2,140.7
1485,14:12:08,38.5,1.2,263.4
1486,14:12:09,2.2,1.2,226.6
1487,14:12:10,6.1,1.2,160.2
0,13:46:28,0.3,1.5,113.3
1,13:46:29,0.1,1.5,111.3
2,13:46:30,0.1,1.5,111.4
3,13:46:31,0.1,1.5,111.7
34,13:47:02,0.4,1.5,154.3
35,13:47:03,0.2,1.5,126.3
36,13:47:04,0.1,1.5,111.2
37,13:47:05,0.3,1.5,110.9
38,13:47:06,0,1.5,111.4
69,13:47:37,3,1.5,167.6
70,13:47:38,0.2,1.5,167.7
71,13:47:39,0.1,1.5,120.8
72,13:47:40,0.1,1.5,110
73,13:47:41,0,1.5,110.1
74,13:47:42,0.1,1.5,110
105,13:48:13,3.9,1.5,178.4
106,13:48:14,0.1,1.5,178.4
107,13:48:15,0,1.5,130.3
108,13:48:16,0.1,1.5,112
109,13:48:17,0.1,1.5,103.1
140,13:48:48,2.9,1.5,188.1
141,13:48:49,0.1,1.5,188.1
142,13:48:50,0.1,1.5,121
143,13:48:51,0.1,1.5,115.3
144,13:48:52,0.6,1.5,115.1
145,13:48:53,0.3,1.5,115.5
146,13:48:54,0.1,1.5,115.4
147,13:48:55,0.1,1.5,107.2
148,13:48:56,0.2,1.5,113.9
149,13:48:57,0.1,1.5,113.8
178,13:49:28,2.2,1.5,196.3
179,13:49:29,0.1,1.5,125
180,13:49:30,0.1,1.5,114.3
181,13:49:31,0.1,1.5,113.8
182,13:49:32,0.1,1.5,106.4
213,13:50:03,6.1,1.5,204.6
214,13:50:04,0.1,1.5,161.2
215,13:50:05,0.1,1.5,113.5
216,13:50:06,0.1,1.5,113.5
217,13:50:07,0.1,1.5,113.1
248,13:50:38,5.5,1.5,210.2
249,13:50:39,0.1,1.5,170.6
250,13:50:40,0,1.5,114.9
251,13:50:41,0.1,1.5,114.3
252,13:50:42,0,1.5,114
253,13:50:43,0.2,1.5,108.4
284,13:51:14,1.4,1.5,220.6
285,13:51:15,0.1,1.5,153.3
286,13:51:16,0.4,1.5,109.6
287,13:51:17,0.1,1.5,114.7
288,13:51:18,0.1,1.5,114.7
320,13:51:51,0.9,1.5,170.4
321,13:51:52,0.1,1.5,113.7
322,13:51:53,0.1,1.5,113.9
323,13:51:54,0.1,1.5,114
324,13:51:55,0.1,1.5,113.9
325,13:51:56,0.1,1.5,103.9
356,13:52:27,6.3,1.5,225.6
357,13:52:28,0.1,1.5,118.1
358,13:52:29,0.5,1.5,118
359,13:52:30,0.1,1.5,117.9
360,13:52:31,0.2,1.5,117.7
392,13:53:03,0.5,1.5,207.3
393,13:53:04,0.1,1.5,113.1
394,13:53:05,0.4,1.5,113.4
395,13:53:06,0.1,1.5,113.7
396,13:53:07,0.1,1.5,113.9
427,13:53:38,15.6,1.5,245.4
428,13:53:39,0.1,1.5,192.9
429,13:53:40,0.1,1.5,116.9
430,13:53:41,1.2,1.5,116.5
461,13:54:12,18.6,1.5,251.8
462,13:54:13,0.1,1.5,230.7
463,13:54:14,0.1,1.5,116.1
464,13:54:15,0.1,1.5,116.3
465,13:54:16,0.1,1.5,116.2
496,13:54:47,6,1.5,260.3
497,13:54:48,0.1,1.5,178.7
498,13:54:49,0.4,1.5,114.5
499,13:54:50,0,1.5,114.5
530,13:55:21,13.3,1.5,264.7
531,13:55:22,0.1,1.5,239
532,13:55:23,0.1,1.5,118.5
533,13:55:24,0,1.5,118.7
565,13:55:56,3.8,1.5,267.4
566,13:55:57,0.1,1.5,211.6
567,13:55:58,0.1,1.5,121.6
568,13:55:59,0.1,1.5,121.5
